Periodo,# Clicks,# Registros IN,# Primer depÃ³sito IN,Total depositado IN,# Personas que apostaron IN,Total apostado,Net revenue IN
2023-02-08,3704.0,0.0,2.0,3251.98025738785,183.0,10710.3484945887,943.602152668398
2023-02-08,,0.0,0.0,0.0,1.0,16.76336097,5.58778699
2023-02-09,2469.0,0.0,0.0,1785.35565779484,154.0,10823.6183918959,-417.935454222119
2023-02-09,,0.0,0.0,0.0,1.0,10.71776496,-1.02392931186113
2023-02-10,6387.0,0.0,0.0,2041.76559567647,171.0,14476.9851568789,1257.74930460875
2023-02-10,,0.0,0.0,0.0,1.0,10.08509546,3.18236125344462
2023-02-11,4180.0,1.0,3.0,3220.26747268366,200.0,24429.6001599406,111.004839059939
2023-02-11,,0.0,0.0,0.0,1.0,1.5242508,-1.18891558017778
2023-02-12,2122.0,4.0,5.0,2366.83433647273,188.0,18956.5828750126,9.40823766957188
2023-02-13,2131.0,5.0,2.0,1494.29335778851,159.0,21944.2551743492,-487.143692480137
2023-02-14,1898.0,5.0,3.0,2976.99641785281,188.0,18473.2495458666,3940.45519488514
2023-02-15,2222.0,3.0,3.0,2549.3635798283,176.0,19489.8651994435,-379.25557051027
2023-02-15,,0.0,0.0,38.782614,2.0,32.5677002538739,-5.26280060151302
2023-02-16,2263.0,3.0,3.0,2749.32601071688,202.0,15136.6143742173,378.016527535797
2023-02-16,,0.0,0.0,0.0,1.0,11.0897392,2.06965124899988
2023-02-17,1849.0,0.0,0.0,2272.73908444348,189.0,15053.4020400371,814.540559874857
2023-02-17,,0.0,0.0,0.0,2.0,37.1136037620539,-16.9791436708033
2023-02-18,2767.0,0.0,4.0,3466.02878183592,195.0,22606.78777608,2676.02665110253
2023-02-18,,0.0,0.0,0.0,2.0,8.914201875,8.914201875
2023-02-19,1530.0,0.0,0.0,3661.90366453945,160.0,13200.7120192795,448.071127841404
2023-02-19,,0.0,0.0,0.0,1.0,7.755124,-5.58368913265264
2023-02-20,694.0,0.0,0.0,1441.62718873514,164.0,15186.16333833,-531.305040978521
2023-02-21,674.0,0.0,3.0,4144.06082554977,170.0,25683.5623987112,1313.98611219966
2023-02-22,1166.0,13.0,7.0,7463.97510264062,206.0,50941.5450967479,1828.61215097108
2023-02-22,,0.0,0.0,0.0,1.0,22.1038824674753,-23.06508935
2023-02-23,1112.0,4.0,5.0,6228.12764204996,201.0,79726.7045408741,3202.85395878765
2023-02-24,839.0,1.0,0.0,5531.90882046072,167.0,74686.1428465996,3287.31597084119
2023-02-25,1140.0,1.0,1.0,2242.48692365076,198.0,49888.5993132473,-556.788020542159
2023-02-25,,0.0,0.0,0.0,1.0,87.9912734973161,2.11258949
2023-02-26,1144.0,1.0,1.0,9858.61566558308,169.0,72409.9535170792,7568.2768269914
2023-02-26,,0.0,0.0,0.0,1.0,67.318622256131,31.4871854947365
2023-02-27,958.0,1.0,2.0,5022.6334990775,160.0,40066.2686617602,3239.33901947152
2023-02-28,1126.0,2.0,4.0,1796.26006524531,176.0,12846.72873741,-15.9771491055117
2023-02-28,,0.0,0.0,0.0,1.0,24.370002909312,11.277167309312
2023-03-01,1020.0,0.0,1.0,2362.99157105665,196.0,21373.9275125032,2221.31210013955
2023-03-02,1042.0,1.0,4.0,1942.14778394,200.0,9477.80441643361,1362.23239683425
2023-03-03,1.0,,,,,,
2023-03-03,816.0,1.0,1.0,2538.20940435834,181.0,16900.2334567893,1168.15475982122
2023-03-04,935.0,0.0,3.0,4973.14333986131,202.0,20718.3585851057,585.802303418783
2023-03-05,1293.0,1.0,3.0,2515.32529291941,217.0,11816.5290080331,1636.62764996144
2023-03-06,10.0,,,,,,
2023-03-06,857.0,0.0,0.0,1935.10025211808,181.0,12001.2006025363,-184.099420076358
2023-03-06,,0.0,0.0,0.0,1.0,32.32858104,24.6270466379974
2023-03-07,975.0,0.0,2.0,5455.72714838323,186.0,52529.7650478326,-1115.49048449057
2023-03-07,,0.0,0.0,0.0,1.0,40.6227276,-5.54016616040064
2023-03-08,1079.0,1.0,1.0,1707.04253532176,198.0,114508.393711203,-6187.55789690527
2023-03-09,917.0,0.0,1.0,2126.5371117,212.0,34173.4943857351,91.8865883028078
2023-03-10,718.0,0.0,2.0,2139.53449275429,178.0,170388.058485458,-3106.69186454843
2023-03-10,,0.0,0.0,0.0,1.0,17.2251292062606,17.2251292062606
2023-03-11,1044.0,0.0,0.0,3342.09360104153,180.0,179398.352323896,-5301.21058199027
2023-03-12,963.0,1.0,1.0,5518.67772052644,190.0,289945.271311868,25210.3466637304
2023-03-13,824.0,0.0,1.0,6666.22102641601,176.0,87746.8566284378,-7948.67795820312
2023-03-14,898.0,0.0,1.0,3925.31909765,194.0,116583.648405932,-1800.50654649646
2023-03-15,985.0,0.0,0.0,1803.91207148181,191.0,91707.6778232436,-19141.06275105
2023-03-16,1000.0,0.0,1.0,2275.11184749673,197.0,132898.53253022,-448.953617148611
2023-03-17,756.0,0.0,0.0,3874.86262750945,164.0,31154.5650379928,1009.97409259525
2023-03-18,946.0,0.0,1.0,6287.2969003955,193.0,121894.494108501,-776.209241417136
2023-03-19,1024.0,0.0,1.0,2221.18457141601,201.0,44728.5615363269,-4138.24062079968
2023-03-20,774.0,1.0,1.0,5942.08676202503,170.0,132686.719101993,9640.50063855785
2023-03-21,714.0,0.0,1.0,2611.72628551884,156.0,14394.9442449815,1763.61326636509
2023-03-21,1.0,,,,,,
2023-03-21,3.0,,,,,,
2023-03-21,2.0,,,,,,
2023-03-22,743.0,0.0,0.0,4529.44851782712,146.0,35221.6417618295,-1757.74205093087
2023-03-22,5.0,,,,,,
2023-03-23,785.0,1.0,0.0,8295.01514715234,174.0,134379.053787125,-1206.38651936581
2023-03-24,757.0,0.0,0.0,7113.5002254246,162.0,58363.672782185,4396.75467267622
2023-03-25,961.0,0.0,2.0,8084.14280698882,176.0,87171.1910516571,5812.93613313327
2023-03-26,734.0,5.0,5.0,10890.0473102514,179.0,155684.880999802,6792.8203967307
2023-03-27,734.0,1.0,0.0,7482.21610426226,153.0,79674.1111697365,6363.26441542804
2023-03-28,783.0,0.0,0.0,4076.73275456,153.0,128150.138484662,-10628.4755491325
2023-03-29,688.0,0.0,0.0,1960.23762275756,144.0,95901.3974580285,-2081.25666347334
2023-03-30,633.0,0.0,0.0,5296.472151025,158.0,48136.8376647643,-3343.54453872011
2023-03-31,648.0,0.0,0.0,8860.75748325304,140.0,162727.339231769,-811.202861712767
2023-04-01,1095.0,0.0,1.0,5651.45364625532,171.0,45886.8613126117,-8859.73086134445
2023-04-02,425.0,0.0,0.0,3174.52176365358,183.0,13132.7741960175,1772.87964920582
2023-04-03,375.0,0.0,1.0,8264.78597257824,159.0,27091.0832241398,6875.98821838523
2023-04-04,1419.0,2.0,1.0,4828.34683603507,160.0,14527.6251057995,1049.03535156068
2023-04-05,956.0,0.0,1.0,8126.38465105886,182.0,38274.9591427393,-2159.96174421762
2023-04-06,745.0,2.0,3.0,10411.8667757179,192.0,57009.990488003,7403.89821345234
2023-04-07,504.0,0.0,3.0,9500.97547974617,184.0,88033.0459260503,-4247.76206748565
2023-04-08,12.0,0.0,0.0,2289.63807225858,187.0,16559.3603250171,-330.828282212433
2023-04-09,6.0,0.0,3.0,3817.33563956054,213.0,34094.5258993515,342.681607919722
2023-04-10,7.0,0.0,0.0,2468.30828249585,188.0,10224.6570566299,1204.93630088304
2023-04-11,5.0,0.0,0.0,2012.68712501905,172.0,10039.2390143465,-311.955661868499
2023-04-12,8.0,1.0,0.0,3245.22846878378,179.0,27841.5061201209,-5550.17439375117
2023-04-13,6.0,0.0,1.0,4433.21537809281,180.0,24310.9620162511,1062.90697430734
2023-04-14,3.0,0.0,0.0,11111.1017087271,160.0,77561.2846792539,-3722.18754465137
2023-04-15,9.0,1.0,1.0,12632.4638174657,203.0,65211.8319951663,9215.27643354093
2023-04-16,7.0,1.0,1.0,6508.60165437285,200.0,36186.839398581,-6719.24493238613
2023-04-17,9.0,0.0,1.0,1493.01078750892,161.0,6778.81691705008,823.434514441705
2023-04-18,5.0,2.0,2.0,2865.34961029839,174.0,13942.5797200973,1173.56534200718
2023-04-19,5.0,0.0,2.0,2938.06133798635,194.0,9993.04501493248,79.4220465425514
2023-04-20,7.0,0.0,0.0,8253.98984116812,196.0,68747.8505047956,-6799.37060197359
2023-04-20,5.0,,,,,,
2023-04-21,6.0,0.0,0.0,8712.19048518,165.0,192614.077724755,-1693.88727984073
2023-04-21,3.0,,,,,,
2023-04-22,4.0,1.0,2.0,10146.9403423202,178.0,171341.736975564,17562.6563361419
2023-04-23,2.0,1.0,1.0,8085.54727509808,186.0,25907.2050340539,7085.85817093886
2023-04-24,5.0,0.0,2.0,8410.46468398148,147.0,107495.738513025,6234.71459463362
2023-04-25,7.0,1.0,0.0,8676.85451173515,160.0,66432.0809837568,6098.49648058437
2023-04-26,4.0,0.0,2.0,2412.73814145172,185.0,10649.7722786059,-225.659294861131
2023-04-27,3.0,2.0,1.0,2097.27859159224,175.0,20584.6033375853,30.340307157907
2023-04-28,1.0,0.0,0.0,2437.35689075479,171.0,9911.0329110022,1175.54250614832
2023-04-29,3.0,1.0,2.0,3295.95705426369,204.0,12306.1562341426,293.623327292112
2023-04-30,9.0,0.0,1.0,4249.47400753518,207.0,14290.1530532855,76.0187878229345
2023-05-01,9.0,0.0,1.0,2140.037026875,184.0,9914.1195069795,-185.36786166375
2023-05-02,3.0,0.0,0.0,7192.244829715,196.0,103829.134209509,4836.0049810989
2023-05-03,4.0,0.0,0.0,11180.3740320942,198.0,43707.5559498857,7005.60527765401
2023-05-04,2.0,0.0,0.0,5400.9011340252,200.0,30108.2840691717,790.370844880911
2023-05-05,1.0,1.0,0.0,9571.6075876776,180.0,66755.4210708855,5140.16177435199
2023-05-06,,5.0,3.0,7630.6803494608,189.0,142841.117139497,-1593.75997000211
2023-05-07,,3.0,3.0,6657.716984086,212.0,48697.14704581,3985.27852439537
2023-05-08,,3.0,2.0,3355.8387610235,170.0,11183.3569614277,1488.69733679611
2023-05-09,4.0,1.0,3.0,2617.8997184956,194.0,12915.1226239521,1781.16886906789
2023-05-09,12.0,,,,,,
2023-05-10,5.0,0.0,2.0,4531.7446270128,185.0,17184.8746674898,1275.99178523313
2023-05-10,3.0,,,,,,
2023-05-11,3.0,0.0,4.0,5695.793257576,231.0,36345.2883925332,-2015.12062790602
2023-05-11,16.0,,,,,,
2023-05-12,3.0,0.0,0.0,6271.8031864708,207.0,177076.011226475,-18013.6873984975
2023-05-12,1.0,,,,,,
2023-05-13,5.0,0.0,1.0,9777.5871736112,222.0,99147.9572243851,-1514.37385545334
2023-05-14,6.0,1.0,1.0,5211.80505663,220.0,202823.614023527,10761.6394953296
2023-05-15,4.0,0.0,1.0,7747.182397504,159.0,32468.12785089,3405.88133101304
2023-05-15,2.0,,,,,,
2023-05-15,,0.0,0.0,20.30729,1.0,84.15340976,0.01760642043
2023-05-16,5.0,0.0,1.0,3763.8529453266,160.0,83665.5700666606,-8464.35557887958
2023-05-16,,0.0,0.0,0.0,1.0,15.27734475,6.620182725
2023-05-17,5.0,0.0,2.0,8739.8435506788,207.0,172613.173736777,8693.22629645784
2023-05-17,,0.0,0.0,0.0,1.0,5.089131,5.089131
2023-05-18,4.0,0.0,3.0,7548.5042450492,200.0,50384.6039626354,6520.06161282631
2023-05-18,3.0,,,,,,
2023-05-19,2.0,0.0,0.0,7437.1343833034,139.0,45939.9246438057,1060.07467891612
2023-05-20,6.0,0.0,1.0,6706.8961977216,197.0,33719.4263211212,4525.45301720592
2023-05-20,,0.0,0.0,0.0,1.0,17.087271263,2.001233966842
2023-05-21,4.0,1.0,1.0,6297.913476524,185.0,46065.4892081903,4107.75124720124
2023-05-21,,0.0,0.0,0.0,1.0,36.990446336,-20.91912136
2023-05-22,4.0,1.0,0.0,2714.084003684,145.0,11148.0418025783,617.64373787344
2023-05-22,,0.0,0.0,0.0,1.0,57.099601716,12.32646226684
2023-05-23,7.0,0.0,1.0,7565.7629296256,156.0,42105.6261792166,-1828.52199599661
2023-05-24,8.0,0.0,0.0,7912.41670791,177.0,45594.9333192493,583.68805633389
2023-05-24,,0.0,0.0,0.0,1.0,15.1179195,15.1179195
2023-05-25,3.0,0.0,0.0,7604.401605738,187.0,190944.533733929,6582.64944910768
2023-05-25,4.0,,,,,,
2023-05-26,3.0,0.0,0.0,5975.86907925,134.0,19683.1163756817,3371.5512986103
2023-05-27,7.0,0.0,0.0,4946.6972756916,174.0,17303.3058049948,2491.9136424404
2023-05-27,,0.0,0.0,34.958469,1.0,47.89310253,34.962743921352
2023-05-28,5.0,0.0,0.0,2032.8412675208,174.0,15481.4342007615,-946.892267720344
2023-05-28,1.0,,,,,,
2023-05-29,1.0,0.0,0.0,1765.9666283292,127.0,11025.1106739305,-413.748556057408
2023-05-29,1.0,,,,,,
2023-05-30,6.0,0.0,0.0,1862.96722308,114.0,12052.3478609635,607.744141913112
2023-05-30,7.0,0.0,0.0,,,,
2023-05-31,3.0,0.0,3.0,3324.8170170504,141.0,17201.8453617538,-144.231342167098
2023-06-01,10.0,0.0,3.0,8749.9873477632,194.0,31499.3800946948,2757.90053524878
2023-06-02,4.0,0.0,1.0,3837.047816742,179.0,23324.2676426778,5549.0601433386
2023-06-03,5.0,0.0,1.0,3596.4562076163,186.0,18959.524751069,1371.27845401932
2023-06-04,8.0,0.0,1.0,2348.9822158634,158.0,17172.2434006535,-41.45430073083
2023-06-05,2.0,0.0,1.0,1549.348613657,158.0,12069.3902114214,1298.21754910083
2023-06-05,1.0,0.0,0.0,,,,
2023-06-06,2.0,0.0,1.0,2657.4673568,183.0,16262.1652357092,513.91223748086
2023-06-07,5.0,0.0,5.0,2469.6199305162,193.0,12652.2192961242,-1560.34143912339
2023-06-08,6.0,0.0,0.0,3657.2835668688,194.0,16884.2751523504,537.730723518406
2023-06-08,3.0,0.0,0.0,,,,
2023-06-09,5.0,0.0,1.0,2774.8238752256,152.0,14492.2457324213,314.94609198602
2023-06-10,8.0,0.0,0.0,6307.7273189902,218.0,23550.234874886,-385.111904471212
2023-06-11,5.0,0.0,0.0,2223.59801173,163.0,9824.41065459704,-190.525901211559
2023-06-12,2.0,0.0,0.0,4190.5300429505,122.0,31680.9459377429,1866.70692290735
2023-06-13,1.0,0.0,0.0,4813.4748542804,115.0,35293.8464404565,2675.57790371654
2023-06-13,1.0,0.0,0.0,,,,
2023-06-14,4.0,0.0,0.0,3233.006529324,121.0,20631.2209191274,945.08053583026
2023-06-14,1.0,0.0,0.0,,,,
2023-06-15,5.0,0.0,0.0,1981.7525373426,129.0,7510.76479805751,-128.362415533506
2023-06-16,8.0,0.0,0.0,3330.1801668352,137.0,31628.9394267729,1616.77098356374
2023-06-16,1.0,0.0,0.0,,,,
2023-06-17,7.0,0.0,0.0,3056.133941848,150.0,22266.9037011184,-1951.8527370442
2023-06-18,6.0,0.0,0.0,3599.7560508,128.0,22458.310813795,-692.566721966
2023-06-19,2.0,2.0,0.0,3586.2415161969,148.0,21298.5459734801,96.57668324529
2023-06-20,10.0,0.0,1.0,3765.4293924446,137.0,24579.4168192078,1543.34143628643
2023-06-21,4.0,0.0,0.0,3579.65984688,140.0,18284.7258634548,-201.654700240608
2023-06-21,1.0,0.0,0.0,,,,
2023-06-22,5.0,0.0,0.0,4511.7001099788,179.0,19016.5865965261,3548.31007867459
2023-06-22,1.0,0.0,0.0,,,,
2023-06-23,4.0,5.0,2.0,2506.917746707,143.0,20725.0878134281,-2154.04514964911
2023-06-24,2.0,27.0,11.0,10632.4235907455,151.0,76584.1462034473,4755.08241878017
2023-06-25,1.0,30.0,20.0,2288.0755468116,191.0,10542.6541931681,-696.645998549865
2023-06-26,,24.0,7.0,1843.592556897,136.0,8302.0858044882,948.52641621465
2023-06-26,3.0,0.0,0.0,,,,
2023-06-27,,50.0,21.0,3333.375865468,186.0,12299.21629604,1045.30535419904
2023-06-28,,15.0,7.0,2851.0691782497,187.0,11774.8744187712,1554.89118465533
2023-06-28,1.0,0.0,0.0,,,,
2023-06-29,,52.0,26.0,2895.6720707264,212.0,15950.4683471638,421.270746931328
2023-06-30,,34.0,16.0,2555.895790955,217.0,16764.9781405936,947.94240583075
2023-07-01,,4.0,4.0,3734.223415437,226.0,16391.6176029353,1278.13546081892
2023-07-02,,2.0,5.0,5117.0589977616,243.0,38679.9974445745,1634.3233933072
2023-07-03,,3.0,4.0,3414.60458685,198.0,21259.6245216052,-718.713426902967
2023-07-04,5.0,3.0,2.0,5216.494011644,185.0,46297.6528934965,-689.45618898258
2023-07-05,5.0,16.0,6.0,4115.650830292,203.0,20685.7481363754,211.419774274096
2023-07-06,2.0,72.0,21.0,6529.277221165,265.0,26540.1620922935,2603.9418262
2023-07-07,3.0,44.0,20.0,11632.703716745,182.0,60899.2578256039,4110.82973444994
2023-07-08,1.0,21.0,16.0,8543.7573222657,267.0,80203.0879415535,1116.70857653579
2023-07-09,,176.0,75.0,7925.3059283865,348.0,39045.9244092849,2588.74721337159
2023-07-10,5.0,89.0,38.0,6161.280910896,210.0,35280.8573010454,2881.30364842004
2023-07-11,,138.0,75.0,4412.9265451854,279.0,16392.1964716111,982.44093062423
2023-07-12,,325.0,159.0,4964.6384920122,353.0,21239.6327153895,-2613.3302722128
2023-07-12,1.0,0.0,0.0,,,,
2023-07-13,7.0,470.0,180.0,6248.4491958988,588.0,36239.5842331319,2126.51374662949
2023-07-14,,381.0,161.0,8041.9266289989,602.0,39272.6991597144,271.985898575371
