periodo,#_clicks,#_registros_in,#_primer_depósito_in,total_depositado_in,#_personas_que_apostaron_in,total_apostado,net_revenue_in,año_mes,conversion_rate,avg_deposit_per_user,revenue_per_deposit
2023-01-10,2698.0,3.0,2.0,1203.82375819482,172.0,6819.046997859054,879.175545453523,2023-01,0.001111934766493699,6.998975338341976,0.7303191513447788
2023-01-11,3029.0,1.0,3.0,1392.48898967047,171.0,8200.36252115534,755.023514430478,2023-01,0.0003301419610432486,8.143210465909181,0.5422114788923057
2023-01-13,3699.0,12.0,8.0,2367.63186487871,182.0,8657.73992004764,595.233462997365,2023-01,0.0032441200324412004,13.008966290542363,0.2514045666587858
2023-01-14,2870.0,18.0,11.0,1962.85237735291,189.0,8985.88004454466,65.0201452491686,2023-01,0.0062717770034843206,10.38546231403656,0.033125336372394114
2023-01-17,2396.0,1.0,2.0,1126.208858913837,179.0,8594.42363118359,166.707824325988,2023-01,0.00041736227045075126,4.933314700419754,0.18878354292707972
2023-01-18,2559.0,2.0,3.0,3068.84354802152,185.0,15241.9177143816,1036.63777976284,2023-01,0.0007815552950371239,16.588343502819026,0.33779427446901267
2023-01-19,2305.0,2.0,3.0,1868.1673516275,182.0,14322.5321836699,2246.11377873722,2023-01,0.0008676789587852494,10.264655778173077,1.2023086565453907
2023-01-20,2256.0,1.0,2.0,1316.11172713152,173.0,15117.8272177045,761.232456899413,2023-01,0.0004432624113475177,7.607582237754451,0.5783950110060394
2023-01-21,2733.0,1.0,4.0,1804.49572604875,189.0,11676.8005511149,594.365394265137,2023-01,0.00036589828027808267,9.54759643412037,0.32938032808013407
2023-01-22,2722.0,0.0,2.0,1393.29082405938,195.0,17195.2452664592,62.74048744995134,2023-01,0.0,7.145081149022461,0.03938447622330796
2023-01-24,2263.0,1.0,4.0,1878.32075633077,170.0,11927.097060199,1866.30671101062,2023-01,0.0004418912947414936,11.048945625475119,0.9936038372148859
2023-01-25,2532.0,0.0,1.0,1246.98260622062,177.0,8673.67174452586,218.853003246544,2023-01,0.0,7.045099470172994,0.17550605931052085
2023-01-26,2056.0,0.0,1.0,1624.02676783312,172.0,8895.86855998301,95.0961668984272,2023-01,0.0,9.442016092053024,0.05855578786137286
2023-01-27,1944.0,2.0,2.0,2460.43866935179,172.0,8357.98178427742,1178.66139482349,2023-01,0.00102880658436214,14.304875984603429,0.47904522453876563
2023-01-28,2640.0,2.0,1.0,1620.1461515775,217.0,12283.8194911698,152.407142749463,2023-01,0.0007575757575757576,7.466111297592166,0.09406999646363236
2023-01-30,1590.0,0.0,1.0,1261.0778890883,145.2,6819.046997859054,300.632057211571,2023-01,0.0,10.169982976518549,0.23839293338884393
2023-01-31,1888.0,0.0,2.0,1126.208858913837,161.0,6819.046997859054,158.78819766934,2023-01,0.0,6.16946848616923,0.15986176111217756
2023-02-01,739.0,2.0,1.0,3841.31919258406,167.0,10149.5640898671,105.377864508153,2023-02,0.0027063599458728013,23.001911332838684,0.027432727983551185
2023-02-03,275.0,0.0,1.0,3409.72161379031,158.0,16908.5860341248,2856.62756258566,2023-02,0.0,21.580516542976646,0.837789088420676
2023-02-04,283.0,1.0,4.0,3907.1398247882,179.0,16798.3137905497,2102.13933456296,2023-02,0.0035335689045936395,21.827596786526257,0.5380251101397207
2023-02-07,1598.0,0.0,1.0,2880.8458920739,179.0,14160.8970453732,439.21653868444,2023-02,0.0,16.09411112890447,0.15246096290428476
2023-02-08,3704.0,0.0,2.0,3251.98025738785,183.0,10710.3484945887,943.602152668398,2023-02,0.0,17.770383920152188,0.2901623251016738
2023-02-11,4180.0,1.0,3.0,3220.26747268366,200.0,24429.6001599406,111.004839059939,2023-02,0.00023923444976076556,16.1013373634183,0.03447068915906895
2023-02-12,2122.0,4.0,5.0,2366.83433647273,188.0,18956.5828750126,62.74048744995134,2023-02,0.001885014137606032,12.589544342940052,0.003975030074809919
2023-02-14,1898.0,5.0,3.0,2976.99641785281,188.0,18473.2495458666,3940.45519488514,2023-02,0.0026343519494204425,15.835087329004308,1.3236345100231042
2023-02-16,2263.0,3.0,3.0,2749.32601071688,202.0,15136.6143742173,378.016527535797,2023-02,0.0013256738842244808,13.610524805529108,0.13749425352333178
2023-02-18,2767.0,0.0,4.0,3466.02878183592,195.0,22606.78777608,2676.02665110253,2023-02,0.0,17.774506573517538,0.7720728301872514
2023-02-21,674.0,0.0,3.0,4144.06082554977,170.0,25683.5623987112,1313.98611219966,2023-02,0.0,24.376828385586883,0.3170769367327857
2023-02-22,1166.0,13.0,7.0,7463.97510264062,206.0,50941.5450967479,1828.61215097108,2023-02,0.011149228130360206,36.23288884777,0.24499172703887367
2023-02-23,1112.0,4.0,5.0,6228.12764204996,201.0,79726.7045408741,3202.85395878765,2023-02,0.0035971223021582736,30.9857096619401,0.5142563131113743
2023-02-26,1144.0,1.0,1.0,9858.61566558308,169.0,72409.9535170792,7568.2768269914,2023-02,0.0008741258741258741,58.33500393836142,0.7676814964409895
2023-02-27,958.0,1.0,2.0,5022.6334990775,160.0,40066.2686617602,3239.33901947152,2023-02,0.0010438413361169101,31.391459369234376,0.6449483164691361
2023-03-01,1020.0,0.0,1.0,2362.99157105665,196.0,21373.9275125032,2221.31210013955,2023-03,0.0,12.056079444166583,0.940042329116838
2023-03-02,1042.0,1.0,4.0,1942.14778394,200.0,9477.80441643361,1362.23239683425,2023-03,0.0009596928982725527,9.710738919699999,0.7014051186520491
2023-03-03,816.0,1.0,1.0,2538.20940435834,181.0,16900.2334567893,1168.15475982122,2023-03,0.0012254901960784314,14.023256377670387,0.46022789050241103
2023-03-04,935.0,0.0,3.0,4973.14333986131,202.0,20718.3585851057,585.802303418783,2023-03,0.0,24.61952148446193,0.11779316689374165
2023-03-05,1293.0,1.0,3.0,2515.32529291941,217.0,11816.5290080331,1636.62764996144,2023-03,0.0007733952049497294,11.59136079686364,0.6506624230943464
2023-03-09,917.0,0.0,1.0,2126.5371117,212.0,34173.4943857351,91.8865883028078,2023-03,0.0,10.03083543254717,0.043209491993935464
2023-03-12,963.0,1.0,1.0,5518.67772052644,190.0,116038.39409886743,8580.731349511187,2023-03,0.0010384215991692627,29.045672213297053,4.568186065651525
2023-03-20,774.0,1.0,1.0,5942.08676202503,170.0,116038.39409886743,8580.731349511187,2023-03,0.0012919896640826874,34.95345154132371,1.6224099419363613
2023-03-21,714.0,0.0,1.0,2611.72628551884,156.0,14394.9442449815,1763.61326636509,2023-03,0.0,16.74183516358231,0.6752672652351601
2023-03-25,961.0,0.0,2.0,8084.14280698882,176.0,87171.1910516571,5812.93613313327,2023-03,0.0,45.932629585163745,0.7190541127140815
2023-03-26,734.0,5.0,5.0,10610.36790924274,179.0,116038.39409886743,6792.8203967307,2023-03,0.006811989100817439,60.838253129896096,0.6237640850592305
